Type,Name,Address,Rooms,Grade,District,AGA Division,PS/MC/UC,Logitiute,Latitude
Home Stay Units,MY INN GUEST HOUSE,"NO:60, KUDUGALPATHANA, KITHALELLA, ELLA",2,STANDARD,Badulla,Ella Pradeshiya Sabha,Ella Divisional Secretariat,81.044138,6.86269
Home Stay Units,LEGACY LANKA HOME STAY,"405/4. DIYA ADDARA, ATTANAGALLA",4,SUPERIOR,Gampaha,Attanagalla Pradeshiya Sabha,Attanagalla Divisional Secretariat,NULL,NULL
Home Stay Units,CINNAMON APARTMENT,"NO 12/B/2/1,WATTALPOLA ROAD, WALANA, PANADURA",2,STANDARD,Kalutara,Panadura,Panadura Divisional Secretariat,79.9067978,6.7287176
Home Stay Units,SKYLINE MOUNT BUNGALOW,"236/29,SUMMER FIELD SUMMIT, ANGUNAWELA, PERADENIYA",4,DELUXE,Kandy,Udunuwara Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.591459,7.243702
Home Stay Units,HEAVEN UPON RICE FIELDS,"3/3 A NUWARAVEWA WATHTHA, MIHINTHALA ROAD, JAFFNA JUNCTION, ANURADAPURA.",3,SUPERIOR,Anuradhapura,Anuradhapura,Anuradhapura East,80.5,8.35
Home Stay Units,NATURE VIEW RESORT,"NO:83/B PAHALA MADAMPALA,KATULANDA,AKARAGAMA",3,STANDARD,Gampaha,Negombo,Divulapitiya Divisional Secretariat,79.957041,7.27348
Home Stay Units,THE CASTLE OF KANDY,"NO:147/22, DHARMASHOKA MW, LEWELLA, KANDY",4,DELUXE,Kandy,Kandy,Kandy Divisional Secretariat,80.647176,7.301356
Home Stay Units,CAMBELS LANE FOREST VIEW,"20/17A, 1ST LANE, SIYAMBALAGASTENNA ROAD, KANDY",2,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,80.630684,7.322684
Home Stay Units,SUGAR VILLA,"NO/18F,PETER MEDIS ROAD,NEGAMBO",5,SUPERIOR,Gampaha,Negombo,Negombo Divisional Secretariat,79.842796,7.227029
Home Stay Units,JAYAVIMANA,"NO.147/20, DHARMASHOKA MAWATHA, LEWELLA, KANDY",1,STANDARD,Kandy,Kandy,GANGAWATA KORALAYA,80.649138,7.299508
Home Stay Units,THIAGI INN,"20/B, ATAPATTU ROAD, DEHIWALA",1,SUPERIOR,Colombo,Dehiwala-Mount Lavinia,Dehiwala Divisional Secretariat,79.880083,6.830118
Home Stay Units,DILU'S HOMESTAY,"14/21, 1ST CROSS,THIRUCHENDUR, BATTICALOA",2,STANDARD,Batticaloa,Batticaloa,Manmunai North Divisional Secretariat,81.67473,7.730997
Home Stay Units,GLORIA GUEST ROOMS,"78 MAIN ROAD,KALPITIYA.",3,STANDARD,Puttalam,Kalpitiya Pradeshiya Sabha,Puttalam Divisional Secretariat,79.759614,8.229528
Home Stay Units,SANUPA VILLA KANDY,"NO. 09 MAHAWELI BREEZE,,MALIGATHENNA GURUDENIYA,,KANDY.",2,SUPERIOR,Kandy,Gagawata Koralya,Kandy Divisional Secretariat,80.703184,7.265038
Home Stay Units,THAL SEWANA,"37/B, PIDURANGALA TEMPLE ROAD,SIGIRIYA,",4,SUPERIOR,Matale,Dambulla Pradeshiya Sabha,Dambulla Divisional Secretariat,80.76218,7.965655
Home Stay Units,GRANARY HOME STAY,"NO 80,,PAMUNUWA,,PILIMATALAWA.",4,SUPERIOR,Kandy,Udunuwara Pradeshiya Sabha,Udunuwara Divisional Secretariat,80.572178,7.240107
Home Stay Units,JUNGLE VILLAGE HOMESTAY,"A-92,,GALPOLA,,MOLAGODA,",1,STANDARD,Kegalle,Rambukkana Pradeshiya Sabha,Rambukkana Divisional Secretariat,80.389404,7.277056
Home Stay Units,GREAT HOSPITALITY IN HILL COUNTRY,"NO 8/4 A ,,MADDEPATANA,AMPIYIYA",3,STANDARD,Kandy,Kandy,Ganga Ihala Korale Divisional Secretariat,80.66321,7.268636
Home Stay Units,PARISARE,"97/3,ROSMEAD PLACE,COLOMBO 7",1,STANDARD,Colombo,Colombo,Colombo Divisional Secretariat,79.866084,6.906528
Home Stay Units,KEVINS VILLA,"36/12,SANGARAJA MAWATHA,KANDY",4,STANDARD,Kandy,Kandy,Kandy Divisional Secretariat,80.643254,7.289666
Home Stay Units,EVERGREEN HOMESTAY,"NO..33,MABLE COORAY MAVATHA,PRIMROSEGARDEN,KANDY",2,SUPERIOR,Kandy,Kandy,GANGAWATA KORALAYA,80.614567,7.281205
Home Stay Units,RIVORICH RESIDENCE,"NO 8/6, RIVERSIDE GARDEN, SIRIMALWATTA,,GUNNEPANA,KANDY",7,DELUXE,Kandy,Kundasle,Kundasale Divisional Secretariat,80.669273,7.315507
